"","C1","C2","INT_S1_D0_E1","P_S1_D0_E1","INT_S1_D0_E2","P_S1_D0_E2","INT_S1_D0_E3","P_S1_D0_E3","INT_S1_D0_E4","P_S1_D0_E4","INT_S1_D1_E1","P_S1_D1_E1","INT_S1_D1_E2","P_S1_D1_E2","INT_S1_D1_E3","P_S1_D1_E3","INT_S1_D1_E4","P_S1_D1_E4","INT_S2_D0_E1","P_S2_D0_E1","INT_S2_D0_E2","P_S2_D0_E2","INT_S2_D0_E3","P_S2_D0_E3","INT_S2_D0_E4","P_S2_D0_E4","INT_S2_D1_E1","P_S2_D1_E1","INT_S2_D1_E2","P_S2_D1_E2","INT_S2_D1_E3","P_S2_D1_E3","INT_S2_D1_E4","P_S2_D1_E4","INT_S3_D0_E1","P_S3_D0_E1","INT_S3_D0_E2","P_S3_D0_E2","INT_S3_D0_E3","P_S3_D0_E3","INT_S3_D0_E4","P_S3_D0_E4","INT_S3_D1_E1","P_S3_D1_E1","INT_S3_D1_E2","P_S3_D1_E2","INT_S3_D1_E3","P_S3_D1_E3","INT_S3_D1_E4","P_S3_D1_E4"
"32",-1.7,4.8,-21099.6,1,-5001.6,1,0,0,0,0,-158534,1,0,0,-572.1,1,0,0,0,0,0,0,-18509.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",-1.6,3,-897.3,1,-940.1,1,-2677.6,1,-63308.6,1,0,0,0,0,-4341.5,1,0,0,0,0,-35759.7,1,0,0,0,0,0,0,0,0,0,0,0,0,-4132.5,1,0,0,0,0,-83751.4,1,0,0,0,0,-48571.1,1,-8884.8,1
"34",-1.6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64862.6,1,0,0,-61616.3,1,-56106.9,1,0,0,0,0,-36774.2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1678.5,1,0,0,0,0
"35",-1.6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97726.2,1,0,0,-86671.1,1,0,0,0,0,0,0,0,0,-73629.8,1
"36",-1.6,4.1,-42166.2,1,0,0,-56112.7,1,-111303.8,1,0,0,-62214.1,1,0,0,0,0,0,0,-307.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68134.1,1,0,0,0,0,0,0
"37",-1.6,4.8,0,0,0,0,0,0,0,0,0,0,-573.7,1,0,0,-14671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",-1.5,3,0,0,-49828.4,1,0,0,0,0,0,0,0,0,0,0,-46918.2,1,0,0,-890.5,1,0,0,-56233.2,1,-53729,1,0,0,-28794.1,1,0,0,-1119,1,-3549.9,1,0,0,0,0,0,0,0,0,-45293.6,1,0,0
"39",-1.5,3.1,-49070,1,0,0,0,0,0,0,0,0,-58167.6,1,0,0,0,0,0,0,0,0,0,0,0,0,-50122.4,1,-32508.8,1,0,0,-31239.7,1,0,0,0,0,0,0,-6320.8,1,0,0,-1645.9,1,0,0,0,0
"40",-1.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80335.7,1,0,0,-3451.9,1,0,0,0,0
"41",-1.5,4.1,0,0,-38728,1,0,0,0,0,-72167.8,1,0,0,-62575.2,1,0,0,-1485.8,1,-48438.6,1,-2611.4,1,-45282.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",-1.5,4.8,0,0,-2214.1,1,0,0,0,0,-61654.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15300.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",-1.4,3,-523.6,1,-64432.2,1,-1945.6,1,0,0,0,0,0,0,-52839,1,0,0,-32532.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",-1.4,3.1,0,0,0,0,0,0,-16517.2,1,0,0,-75989.8,1,0,0,-89388,1,-47777.3,1,-55847.7,1,-95341.4,1,0,0,0,0,0,0,0,0,-42393.1,1,0,0,0,0,0,0,-1882,1,-9300.3,1,-5129.5,1,0,0,0,0
"45",-1.4,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82792.6,1,0,0,0,0,-208376.8,1,0,0,-65039.8,1,0,0,0,0
"46",-1.4,4.1,-38909.8,1,-53104.8,1,0,0,-3247.3,1,0,0,-59560,1,0,0,0,0,0,0,0,0,-33180.2,1,-53116.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",-1.4,4.8,0,0,-17933.4,1,-20847.6,1,0,0,-2859.5,1,0,0,0,0,0,0,0,0,0,0,0,0,-434102.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",-1.3,3,-2186,1,-2124,1,0,0,-36228.9,1,0,0,-45750.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35158.7,1,0,0,-73595.5,1,-2226.2,1
"49",-1.3,3.1,0,0,0,0,-1775,1,0,0,0,0,0,0,0,0,0,0,-71545.8,1,0,0,0,0,-4438.5,1,0,0,0,0,0,0,-30066.6,1,-1759.2,1,-2889.5,1,0,0,-6008.4,1,0,0,0,0,0,0,-8194.5,1
"50",-1.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88976.3,1,0,0,-103059,1,-5177.5,1,0,0,0,0,-4812.2,1,-45645.4,1
"51",-1.3,4.1,0,0,0,0,-47584.4,1,-75404,1,0,0,0,0,0,0,-54469.7,1,-76062.5,1,-1532.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",-1.3,4.8,0,0,0,0,0,0,-35345.2,1,-190153.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",-1.2,3,0,0,0,0,-1250.4,1,0,0,0,0,0,0,-52408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",-1.2,3.1,0,0,-1136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68530,1,-44969.9,1,0,0,0,0,0,0,0,0,-40812,1,0,0,-42632.2,1,0,0,-3337.9,1,0,0,-26729.4,1,0,0,0,0
"55",-1.2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98051,1,0,0,0,0,-99470,1,0,0,0,0,0,0,0,0
"56",-1.2,4.1,-2249.9,1,0,0,-43291.6,1,0,0,-65362.7,1,-71655.8,1,-53621.8,1,0,0,0,0,0,0,0,0,-42906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",-1.2,4.8,0,0,0,0,0,0,0,0,-29187.6,1,0,0,-114096.6,1,0,0,0,0,0,0,0,0,0,0,0,0,-1298.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",-1.1,3,0,0,0,0,0,0,-3949.7,1,-37306.6,1,0,0,0,0,0,0,-97998.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6532.3,1,0,0,0,0,0,0
"59",-1.1,3.1,-2119.8,1,-754.8,1,-70396.4,1,0,0,0,0,0,0,0,0,-36511.1,1,0,0,-61745.6,1,-20636,1,-89375.3,1,0,0,0,0,0,0,0,0,-5570.2,1,0,0,0,0,0,0,0,0,0,0,0,0,-400.4,1
"60",-1.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3424,1,-86819.5,1,0,0,-78395.9,1,-3318.4,1,0,0,-81709.7,1,-820,1
"61",-1.1,4.1,-198,1,-20527.3,1,-48356.2,1,-3300.9,1,0,0,-62054.4,1,0,0,0,0,-35446.5,1,-36509.2,1,-1336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82081.6,1,-944.2,1,0,0,0,0
"62",-1.1,4.8,0,0,0,0,0,0,0,0,-1162.8,1,-68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",-1,3,0,0,-1455,1,0,0,-31138.5,1,0,0,0,0,0,0,0,0,0,0,0,0,-35462.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1319,1,0,0,0,0,0,0,0,0
"64",-1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52821.7,1,-58467.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3736.7,1,0,0,-93.1,1,0,0
"65",-1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87579.5,1
"66",-1,4.1,0,0,0,0,-85055.1,1,-56799.1,1,0,0,0,0,0,0,0,0,-36346.1,1,-33707,1,-402.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61784.5,1,0,0,-69365.3,1
"67",-0.9,3,-2915.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42814.5,1,-1831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1021.3,1,-16806,1,0,0,0,0,0,0
"68",-0.9,3.1,0,0,0,0,0,0,-42841.5,1,0,0,0,0,-95344,1,-73016.3,1,0,0,-64411.3,1,0,0,-74892.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45866.7,1,0,0,-1358.7,1
"69",-0.9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105626.7,1,-94600.1,1,0,0,-82724.8,1,0,0,0,0,-147625.9,1
"70",-0.9,4.1,-51843.1,1,0,0,-1054.4,1,0,0,-76753.8,1,-62683.1,1,0,0,0,0,-1494,1,-47312.8,1,-1038.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33905.2,1,0,0,-66510.7,1,0,0
"71",-0.9,4.8,0,0,0,0,0,0,-43600.7,1,-190930.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55907.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",-0.8,3,-17530.3,1,-37596.8,1,-2416,1,-2697.4,1,0,0,0,0,0,0,0,0,0,0,0,0,-37404.3,1,-420.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4238.8,1,-2183.7,1,0,0,-59322.3,1
"73",-0.8,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66360.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.4,1,0,0,0,0,0,0,0,0,0,0,0,0
"74",-0.8,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86360,1,0,0,0,0,0,0
"75",-0.8,4.1,0,0,-62740.6,1,-64015.8,1,-1064.5,1,0,0,0,0,-115072.2,1,0,0,0,0,0,0,-1134.5,1,-838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64689.7,1,0,0,0,0
"76",-0.8,4.8,0,0,-1870,1,0,0,0,0,0,0,0,0,-27551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",-0.7,3,0,0,-122.5,1,0,0,0,0,0,0,0,0,-1758,1,0,0,-57161.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2239,1,0,0
"78",-0.7,3.1,0,0,0,0,-52409.4,1,0,0,0,0,0,0,0,0,0,0,0,0,-13961.5,1,0,0,-46732.4,1,0,0,0,0,0,0,0,0,-5592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",-0.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112426.2,1,0,0,-61946.7,1,0,0,0,0
"80",-0.7,4.1,-77353.4,1,-53018.3,1,-54481.9,1,-1004.6,1,0,0,-63941.8,1,0,0,0,0,0,0,-53437.7,1,-42800.3,1,-31938.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67787,1,0,0
"81",-0.7,4.8,-2955.3,1,0,0,-30454.5,1,0,0,0,0,0,0,0,0,-501872,1,0,0,0,0,0,0,0,0,0,0,-179821.2,1,0,0,-459484.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",-0.6,3,0,0,-58925.9,1,0,0,-955.6,1,0,0,0,0,0,0,-54313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29035.9,1,0,0,0,0,-64337.4,1,0,0,0,0,0,0,0,0,0,0
"83",-0.6,3.1,0,0,0,0,0,0,0,0,-62799.7,1,0,0,0,0,0,0,0,0,0,0,-156,1,-71534.9,1,-59866.4,1,0,0,0,0,0,0,0,0,-25808.6,1,0,0,0,0,0,0,0,0,0,0,0,0
"84",-0.6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79969.7,1,0,0,0,0
"85",-0.6,4.1,-43195.2,1,-738.8,1,-39050.3,1,-48940.5,1,0,0,0,0,-57322.3,1,0,0,-2309.7,1,0,0,-39625.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",-0.6,4.8,0,0,0,0,0,0,-15457.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",-0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64938.1,1,0,0,-401.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1631.2,1,-31306.1,1,-11901.9,1,0,0
"88",-0.5,3.1,-55996.8,1,0,0,-98252.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2081.5,1,0,0,0,0,0,0,0,0,-202.1,1
"89",-0.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105623.8,1,0,0,0,0,0,0,-76916.9,1
"90",-0.5,3.8,0,0,0,0,0,0,-48399.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",-0.5,4.1,0,0,-44179.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32340.4,1,-270,1,0,0,0,0,0,0,0,0,0,0,-89652.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",-0.5,4.8,0,0,0,0,0,0,0,0,-714,1,-292514.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-328.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",-0.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33379.6,1,-173,1,0,0,0,0,0,0,-33129.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",-0.4,3.1,0,0,-1165.4,1,0,0,0,0,0,0,0,0,0,0,-107764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",-0.4,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82456.7,1,0,0,-69766.9,1,0,0,0,0,0,0,0,0,0,0
"96",-0.4,3.8,0,0,-37520.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",-0.4,4.1,-75149.5,1,-52307,1,0,0,-3575,1,0,0,0,0,0,0,-78666.1,1,0,0,-41152.6,1,-56838.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51740.1,1,0,0,0,0
"98",-0.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-612316.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",-0.3,3,0,0,0,0,0,0,0,0,-50168.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25940.1,1,-76695.7,1,0,0,0,0,0,0,0,0,0,0
